,0
0,2.517773
1,2.517773
2,2.5480637795472965
3,2.1017111211724666
4,3.093097229753976
5,2.4178127351817187
6,3.2164873627077375
7,1.6357116974650097
8,2.947208952669774
9,1.7453431770956218
10,1.8868674911861014
11,3.0074170995309344
12,2.118874286252661
13,2.289344015873741
14,2.9793572560111614
15,2.6291343319558407
16,2.3857285734852676
17,2.4725284491089203
18,2.3938269998546424
19,2.646727361143617
20,3.390030003427589
21,2.4553188328802955
22,3.749803143669144
23,2.593691096836935
24,2.553998814223236
25,2.9777113176860137
26,3.0246727864058496
27,2.7035734129371884
28,2.6148766903917906
29,1.9537760554455916
30,3.0414622526004615
31,2.766313296725455
32,2.4891992721045124
33,2.4256449678342107
34,2.394244647995749
35,2.6571120902095102
36,2.926720621572668
37,2.2725787117916654
38,2.2607393546707795
39,2.948715700634207
40,2.464035340755183
41,2.6356392066439316
42,2.8177447538749116
43,2.8546926076484382
44,2.4073427932656575
45,3.198931462693318
46,3.4416366505646896
47,2.163831438418031
48,2.66116527712087
49,2.915728516664628
50,3.3691183524249237
51,3.238942623864215
52,2.6763941133519595
53,2.880141070192154
54,3.049191165224356
55,2.4686319987431378
56,2.924618426206799
57,1.9116287819297106
58,2.5583407773661317
59,2.7547897158223718
60,2.8937388194840317
61,2.257253841630819
62,2.461728064776611
63,3.1938651886721177
64,3.177787852606263
65,2.601516714225839
66,3.0946885412516942
67,2.3437591343708126
68,2.905700693902528
69,2.364364577670318
70,2.190147492357226
71,2.845871042763664
72,2.02565034293452
73,2.607416299668684
74,3.1590548672560597
75,2.5416708982182534
76,2.1985551235173753
77,2.520280159100441
78,2.8829103878718465
79,2.6984920584708374
80,2.1896803973688117
81,1.9378235297801174
82,3.273610626492928
83,1.9633152583247222
84,3.5213765928026204
85,2.846268591441425
86,3.094994840368617
87,3.0709232259233055
88,2.5669907604925903
89,3.5695780300901347
90,2.1527991841148104
91,2.7472066544263356
92,3.254212530987982
93,2.3515378277863634
94,2.726881844329705
95,2.7906746547871784
96,2.9970319952515165
97,2.6415403951783953
98,2.857266181847596
99,2.3818073220515488
100,3.615636624022727
101,3.168641110114635
102,3.0616428453629965
103,2.7762499064654906
104,3.792917017110718
105,3.06634456616002
106,3.6036531029597305
107,2.5840888417968695
108,2.786922081365317
109,2.518661765585389
110,2.012824690948722
111,2.370718199994097
112,2.2109371151232673
113,2.7064350286002843
114,2.6300057158370427
115,2.6161167901281694
116,2.6604190718412695
117,2.684823591461588
118,3.2681738815238113
119,2.969982791960265
120,2.6266770739342795
121,3.751418115915226
122,2.81973571016778
123,2.7976916608863416
124,3.334577121753243
125,2.8953319012647842
126,2.731609784708145
127,2.2894236868551494
128,2.332299663598371
129,2.8138764556931712
130,2.5294120062193395
131,2.945450652959961
132,2.988356466553733
133,2.879210271093013
134,2.8872769089103594
135,2.8459256052483917
136,3.0216701048441914
137,2.354243170502199
138,2.940684209017238
139,3.568713262424986
140,3.645052058138467
141,2.9773280196816634
142,2.3513267433976264
143,2.35679293332355
144,1.5079695897143313
145,3.4486070339844153
146,3.3489239360015803
147,2.387529077655927
148,2.8067488723925993
149,2.7154803179002536
150,3.0150742558002706
151,3.254221915621341
152,2.6328379685313767
153,3.1595154597881048
154,3.152707685247433
155,2.3224480567694124
156,3.250125400293611
157,3.4409820830233984
158,2.53681338606148
159,2.731514166191594
160,3.4247507441735388
161,3.0259512400219393
162,2.615818177631659
163,3.8851002749368067
164,2.220043289693842
165,2.3262195461277573
166,3.4416768920043674
167,2.9546203839919207
168,3.0336303350901734
169,2.9781281973537177
170,2.9085873942417106
171,3.5723741556588617
172,3.6727167850878755
173,2.4058014601611566
174,3.4322790620400077
175,3.1714427295873278
176,3.4796466355431424
177,3.2920909299126193
178,2.4223551563484094
179,2.493280529068241
180,2.6072141200033294
181,3.009819580434194
182,2.754040411632653
183,3.3128285292498005
184,2.890199212876341
185,2.588975114552821
186,2.7869466343357194
187,2.349541128568273
188,2.7344938851650844
189,2.6888796654534275
190,3.356423635450873
191,3.6837041295216357
192,3.0215943526003377
193,4.07897201881851
194,3.1825101128008373
195,3.226819510762083
196,2.995755794138226
197,3.092443209856339
198,2.054941830820099
199,4.042257569258659
200,3.3835314798828975
201,3.336306318191723
202,2.6973218983118263
203,3.5804325517307585
204,2.822265166451097
205,3.6905003205971334
206,3.3317369314255476
207,3.243428509896235
208,2.2202857904835533
209,3.2297839007383056
210,3.271308021606584
211,3.8936725727209893
212,2.600392527195223
213,3.8848479663117157
214,2.9329668297397076
215,3.3285778937903148
216,3.272191753224575
217,3.4047068115905654
218,3.4238949509115053
219,3.0803448862997165
220,3.0389863894124196
221,3.416478149960694
222,3.707661620833895
223,3.01678217933852
224,3.2628580817521824
225,2.6819300560504984
226,2.9925156954994563
227,2.691713343176002
228,3.0587485391093057
229,3.378136329409536
230,3.374855930555013
231,3.943064049117115
232,3.1002411346444916
233,2.6951935326536165
234,2.3892105831749664
235,3.2330795946421937
236,3.315738767603599
237,3.4368839961202142
238,3.7670178249777013
239,3.656843375406414
240,3.22566301597967
241,2.7529151621884695
242,3.333362862387064
243,3.885445202059901
244,3.030750376804375
245,3.2780437347733202
246,2.190442432696342
247,3.5201694313679956
248,3.147438878900053
249,2.862724652002264
250,3.0352374172151952
251,2.911570891040244
252,3.7771970057406214
253,3.645393870877764
254,4.274002152882385
255,3.245112920156316
256,2.4367678227608867
257,3.2014765955964357
258,2.902272804046057
259,3.40879691108274
260,3.4247848947425297
261,3.0638415425820185
262,3.6760401455252874
263,3.678659778355213
264,3.3138745032080243
265,3.6062926741385706
266,3.07659863053539
267,2.5963943004270993
268,3.36163496114642
269,3.5763792311831484
270,3.4566019067332063
271,3.042429560631569
272,4.155734545093586
273,3.5437237377345485
274,3.0469432087278316
275,3.6625102828633196
276,3.343391248277736
277,3.2600792092559323
278,3.492894416213365
279,3.347025990754598
280,4.200889385927997
281,3.8060304944825574
282,3.736128771843277
283,3.092490643732153
284,3.2040541598929773
285,3.228916629701291
286,3.0738929604039074
287,3.2851418526406637
288,3.021179511319537
289,2.9899385590340373
290,3.3852102087854496
291,4.016925888742113
292,4.1717494098935
293,3.5084858750729135
294,2.817970230687322
295,3.378639314559456
296,2.74991549685305
297,3.118628272837783
298,3.08493808955216
299,3.0324765106388982
300,2.6898240411133916
301,3.680633028098354
302,4.323770103258269
303,3.640300483692641
304,3.201090379087792
305,3.5242385247500394
306,3.1118483185656034
307,4.120262794317716
308,3.154918919485536
309,3.219032423542462
310,3.114659437198966
311,2.842321918911222
312,3.800837165828482
313,4.612311998106642
314,3.84690597849605
315,4.161391525977085
316,3.255345513956777
317,3.401598981001113
318,3.8965400451289187
319,3.763510492706899
320,3.2659886455114724
321,3.064548209841063
322,3.420131536060951
323,2.9704644602541297
324,3.598303338249895
325,3.64454924543675
326,4.041564459502629
327,4.2968006721111385
328,3.7560402601048337
329,3.9223533035645377
330,3.717825542740844
331,3.7354208753800417
332,4.306570112262777
333,4.052061980521264
334,3.0376053281983943
335,2.75497194481702
336,3.250864070220398
337,3.853281755561342
338,4.355725599806695
339,2.933722703881413
340,3.642618659970076
341,3.933769932200245
342,4.215576455744287
343,3.6102821469159325
344,4.200336874503586
345,3.160490459425385
346,3.750018767791755
347,3.8586324116840256
348,3.1823416500255313
349,4.534865825140719
350,3.2197122599362946
351,3.8273754094880355
352,3.6366287429788993
353,3.4051509266625892
354,3.5975481068678605
355,3.9395040666561063
356,3.4553016840120705
357,3.7341015781873597
358,3.4245569360320314
359,3.020510259883882
360,4.237506410293105
